trade_date,nav,actual_exposure,executed_target,traded_notional,fee,turnover,daily_return,drawdown,nav_rebased,drawdown_rebased,index_id,index_name,strategy
2026-07-30,0.946815079096166,0.354274796422441,0.35928843268012506,0.0021691630321651334,1.0845815160825667e-06,0.00227321799291583,-0.00990272235397971,-0.5910091874494454,0.6474544703052947,-0.36105045368426536,CSI1000,中证1000,Volatility Targeting
2026-07-31,0.9553145349386045,0.35947046253132553,0.3597061091138539,0.0005250800416726764,2.625400208363382e-07,0.0005494385605956542,0.008976891084742977,-0.5873377214705185,0.6532665985675552,-0.3553146731983431,CSI1000,中证1000,Volatility Targeting
2026-08-03,0.95546831396205,0.34550271188829285,0.34471664692182424,0.01345096864782458,6.7254843239122894e-06,0.01409463664333889,0.0001609721383077911,-0.5872712943411447,0.6533717562888117,-0.3552108968227522,CSI1000,中证1000,Volatility Targeting
2026-08-04,0.9647117720720255,0.34914207420252563,0.3444028360119603,0.0025401526747148573,1.2700763373574286e-06,0.002652236406961333,0.009674269648614064,-0.5832784455508775,0.6596926508399382,-0.34897303317212747,CSI1000,中证1000,Volatility Targeting
2026-08-05,0.9740753305163383,0.3391372528312947,0.33188248699606154,0.01584771977097288,7.923859885486439e-06,0.016447900770556117,0.00970606839823418,-0.5792337176403759,0.6660956728308031,-0.3426541209030012,CSI1000,中证1000,Volatility Targeting
2026-08-06,0.9755423658258645,0.32549079780811424,0.3228420070768642,0.014289348677635483,7.144674338817741e-06,0.01470495546404488,0.0015060799340318454,-0.5786000099855968,0.667098866157799,-0.34166410546477466,CSI1000,中证1000,Volatility Targeting
2026-08-07,0.9818948233676152,0.33339806415201956,0.3291662399516964,0.0034775740346082995,1.7387870173041498e-06,0.0035641715598597064,0.0065117187774546,-0.5758559717578009,0.6714428263709774,-0.3373772072584573,CSI1000,中证1000,Volatility Targeting
2026-08-10,0.9841935040696943,0.32457127242264283,0.3242712759763163,0.01022468843194696,5.11234421597348e-06,0.0103934349180818,0.0023410661176470615,-0.5748630225442807,0.6730147184217318,-0.33582596348958926,CSI1000,中证1000,Volatility Targeting
2026-08-11,0.9827407477058963,0.3504681297713293,0.35010818996037485,0.02641792137567328,1.3208960687836641e-05,0.026896222664775114,-0.0014760881450556207,-0.5754905621967279,0.6720212893744215,-0.3368063429111361,CSI1000,中证1000,Volatility Targeting
2026-08-12,0.9870587163855504,0.35677254998578434,0.35414779714378236,0.003416466419140951,1.7082332095704755e-06,0.003475374220039164,0.004393802424224269,-0.5736253515998018,0.6749740181448052,-0.33389240101288886,CSI1000,中证1000,Volatility Targeting
