index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-sideways_market-010,sideways_market,2019-06-28,2019-06-28,2019-09-20,Constant Exposure - Train Fixed,0.04938497746012316,0.6096716149746857,0.6091172312263484,0.6049864870906205,0.6096519324293385,0,0
CSI300,沪深300,CSI300-sideways_market-010,sideways_market,2019-06-28,2019-06-28,2019-09-20,MA200,0.08019419333551114,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-sideways_market-010,sideways_market,2019-06-28,2019-06-28,2019-09-20,MA20/MA60,0.0643065054919526,0.20010418109484746,0.19972976102452064,0.19697645556698715,1.0,3,6
CSI300,沪深300,CSI300-sideways_market-010,sideways_market,2019-06-28,2019-06-28,2019-09-20,Volatility Targeting,0.07248263201917249,0.8013827759827941,0.801535343480449,0.6701099689423523,1.0,40,633
CSI300,沪深300,CSI300-sideways_market-010,sideways_market,2019-06-28,2019-06-28,2019-09-20,Risk Score,0.06290457780885117,0.7702600732256352,0.6496158109096276,0.39651585539677525,0.8500711395571796,15,249
CSI300,沪深300,CSI300-sideways_market-011,sideways_market,2020-12-18,2020-12-18,2021-03-19,Buy & Hold,0.14407027709036446,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-011,sideways_market,2020-12-18,2020-12-18,2021-03-19,Constant Exposure - Train Fixed,0.09073178832932682,0.6276072878700082,0.6266631319478639,0.6088970875998825,0.6160533733745606,1,0
CSI300,沪深300,CSI300-sideways_market-011,sideways_market,2020-12-18,2020-12-18,2021-03-19,MA200,0.14407027709036468,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-sideways_market-011,sideways_market,2020-12-18,2020-12-18,2021-03-19,MA20/MA60,0.14407027709036413,1.0,1.0,0.19805588730337972,0.19805588730337972,1,6
CSI300,沪深300,CSI300-sideways_market-011,sideways_market,2020-12-18,2020-12-18,2021-03-19,Volatility Targeting,0.08780746943104223,1.0,1.0,0.47469301573375766,0.5124688390997698,51,633
CSI300,沪深300,CSI300-sideways_market-011,sideways_market,2020-12-18,2020-12-18,2021-03-19,Risk Score,0.10317735375425852,0.6502798017822414,0.6493483700543069,0.40318969863713755,0.6472209943340298,10,249
CSI300,沪深300,CSI300-sideways_market-012,sideways_market,2021-03-22,2021-03-22,2021-06-18,Buy & Hold,0.04889639772118126,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-012,sideways_market,2021-03-22,2021-03-22,2021-06-18,Constant Exposure - Train Fixed,0.030442437021437674,0.6184428397570154,0.6212165417791052,0.6151159145142268,0.618819941426032,0,0
CSI300,沪深300,CSI300-sideways_market-012,sideways_market,2021-03-22,2021-03-22,2021-06-18,MA200,0.04889639772118126,1.0,1.0,0.20223720544312992,1.0,4,43
CSI300,沪深300,CSI300-sideways_market-012,sideways_market,2021-03-22,2021-03-22,2021-06-18,MA20/MA60,0.04889639772118126,0.6797971146178461,0.20155476372675185,0.1974703979235639,1.0,1,6
CSI300,沪深300,CSI300-sideways_market-012,sideways_market,2021-03-22,2021-03-22,2021-06-18,Volatility Targeting,0.04615490970048186,0.49868510622931816,0.5050549179147749,0.5050549179147749,0.9382574852059316,60,633
CSI300,沪深300,CSI300-sideways_market-012,sideways_market,2021-03-22,2021-03-22,2021-06-18,Risk Score,0.03863989093300113,0.6495261407245345,0.6522016664695018,0.39822137569479027,0.6498906017692606,8,249
CSI300,沪深300,CSI300-sideways_market-013,sideways_market,2021-06-21,2021-06-21,2021-09-10,Buy & Hold,0.09529136173081998,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-013,sideways_market,2021-06-21,2021-06-21,2021-09-10,Constant Exposure - Train Fixed,0.05962493244932576,0.6174704598619788,0.6190400230090207,0.6104668232747587,0.6210837026828778,0,0
CSI300,沪深300,CSI300-sideways_market-013,sideways_market,2021-06-21,2021-06-21,2021-09-10,MA200,0.0853902069707897,1.0,1.0,0.1943405711860916,0.2014642325944414,11,43
CSI300,沪深300,CSI300-sideways_market-013,sideways_market,2021-06-21,2021-06-21,2021-09-10,MA20/MA60,0.04146806582899365,1.0,1.0,0.1943405788600514,0.20146423259444143,1,6
CSI300,沪深300,CSI300-sideways_market-013,sideways_market,2021-06-21,2021-06-21,2021-09-10,Volatility Targeting,0.08484628017495222,0.9569067200101543,0.941034417379313,0.6016587447526099,0.8285939874204906,54,633
CSI300,沪深300,CSI300-sideways_market-013,sideways_market,2021-06-21,2021-06-21,2021-09-10,Risk Score,0.07269935797667348,0.7289953262352147,0.6501028779834439,0.3975884829459796,0.6520735763879616,8,249
